English,Chinese,Audio Files
Wang Yixue: Is this your new computer?,这是你的新电脑吗？,
"Yang Tongle: Yes, it's my new computer.",是的， 是我的新电脑,
Wang Yixue: It looks really nice!,真好看！,
Yang Tongle: I really like it too.,我也很喜欢它,
New words 5-5,新词,
Get off work,下班,
new,新,
computer,电脑,
"Really, truly",真,
good-looking,好看,
like,喜欢,
it,它,
6-1,,
"Li Wen: Jiayue, what's your cell phone number?",家月，你的手机号是多少？,
Bai Jiayue: My cell phone number is +33 601493190,我的手机号是33 601493190.,
Li Wen: My cell phone number is +86 13552721160,我的手机号是 +86 13552721160,
Bai Jiayue: Alright.,好的,
New words 6-1,新词,
Cell phone,手机,
Telephone set; phone call,电话,
Number,号,
6-3,,
"Chen Tianzong: Jiayue, where are you going tomorrow?",家月，明天你去哪儿？,
Bai Jiayue: I want to go to the supermarket to buy groceries.,我想去超市买东西,
Chen Tianzhong: What are you going to buy at the supermarket?,你去超市买什么？,
Bai Jiayue: I want to buy some milk.,我想买鞋牛奶,
New Words 6-3,新词,
tomorrow,明天,
go,去,
Where,哪儿,
"Want, would like ",想,
supermarket,超市,
buy,买,
Thing,东西,
"A few, some",些,
(Cow’s) milk,牛奶,
6-5,,
Wang Yixue: Where are we going for dinner on Sunday?,星期天我们去哪儿吃晚饭？,
Liu Ming: I’d like to go to Xi’an Restaurant again.,我还想去西安饭店,
Liu Xiaoxue: The steamed stuffed buns there are very delicious - I’d like to eat some.,那边的包子非常好吃， 我想吃包子,
"Liu Xiaoming: Mom, I’d rather have rice — not steamed stuffed buns. ",妈妈，我想吃米饭， 不想吃包子,
Wang Yixue: Alright. How shall we get there?,好的。我们怎么去？,
Liu Ming: Let’s take a taxi.,坐出租车去,
New words 6-5,新词,
Eat; have,吃,
There,那边,
Dinner; supper,晚饭,
Steamed stuffed bun,包子,
Very; extremely,非常,
Tasty; delicious,好吃,
(Cooked) rice,米饭,
"How (indicating nature, condition, or manner, etc)",怎么,
Take; travel by or on,坐,
taxi,出租车,
Xi’an restaurant (proper noun), 西安饭店,
7-1,,
What time is it now?,现在几点？,
It’s 8:40 in the morning,早上八点四十。,
I have a class at 10:10 in the morning.,我上午十点十分有课。,
"Alright, let’s meet at 2:00 in the afternoon.",好的，我们下午两点见吧。,
New words 7-1,新词,
now,现在,
o’clock,点,
 early 　morning,早上,
morning,上午,
minute,分,
class,课,
afternoon,下午,
meet,见,
suggestion,吧,
7-3,,
I want to go to the cinema to watch a movie this afternoon. Are you going?,下午，我想去电影院看电影，你去吗？,
I don’t want to go. I still have something to do this afternoon.,我不想去，下午还有事。,
Okay. How about tomorrow?,好的。明天呢？,
I have a class tomorrow afternoon at 2:00 and it finishes at 4:30.,我明天下午两点还上课呢，四点半下课。,
New words 7-3,新词,
cinema,电影院,
"Watch, see, read, look at",看,
"Movie, film",电影,
"Thing, affair",事,
Attend a class,上课,
Marker of a declarative sentence.,呢,
Half.,半,
Dismiss a class,下课,
7-5,,
"Hey, where are you?", 喂，你在哪儿呢？,
I’m at home.,我在家里呢。,
I’ll finish work at 6:30 in the evening.,我晚上六点半下班。,
I’ll go to work at the hospital at 8:00.,我八点去医院上班。,
"Alright, could you go to the store to buy some vegetables?",好的，你去店里买些菜吧。,
"OK, I’ll go in ten minutes.",好， 我十分钟后去。,
New Words 7-5,新词,
Be at/in/on,在,
home,家,
Inside,里,
evening,晚上,
hospital,医院,
Go to work,上班,
Shop; store,点,
"Vegetable, greens",菜,
Minute,分钟,
After; later.,后,
